product_update_id;update_date;product_id;description;update_type_id;creation_date;ts
445;2006-02-15 00:00:00;11;iPhoto 6.0.1 update available;4;2006-02-15 00:00:00;2008-07-26 03:41:44
446;2006-02-15 00:00:00;12;iMovie HD 6.0.1 update available;4;2006-02-15 00:00:00;2008-07-26 03:41:44
447;2006-02-15 00:00:00;13;iDVD 6.0.1 update available;4;2006-02-15 00:00:00;2008-07-26 03:41:44
448;2006-02-15 00:00:00;45;iWeb 1.0.1 update available;4;2006-02-15 00:00:00;2008-07-26 03:41:44
449;2005-10-31 00:00:00;7;iCal 2.0.3 update (included with Mac OS 10.4.3 - I think);4;2005-10-31 00:00:00;2008-07-26 03:41:44
450;2005-10-31 00:00:00;20;iChat 3.1 update (included with Mac OS 10.4.3 - I think);3;2005-10-31 00:00:00;2008-07-26 03:41:44
451;2006-01-10 00:00:00;20;iChat 3.1.1 update (included with Mac OS 10.4.4 - I think);4;2006-01-10 00:00:00;2008-07-26 03:41:44
452;2006-02-28 00:00:00;41;Mac mini Intel 1.55GHz Core Solo, 1.66GHz Core Duo. Upto 2GB RAM, 4 USB ports, in-built 64MB VRAM;2;2006-02-28 00:00:00;2008-07-26 03:41:44
453;2006-02-28 00:00:00;28;iPod leather case, for 5G iPod and iPod nano - US$99;5;2006-02-28 00:00:00;2008-07-26 03:41:44
454;2006-02-28 00:00:00;47;iPod Hi-Fi introduced, US$349 - includes built in iPod dock;5;2006-02-28 00:00:00;2008-07-26 03:41:44
455;2006-03-01 00:00:00;1;Security Update 2006-001;4;2006-03-01 00:00:00;2008-07-26 03:41:44
456;2006-03-01 00:00:00;9;iTunes 6.0.4 update available - better Front Row support;4;2006-03-01 00:00:00;2008-07-26 03:41:44
457;2006-03-01 00:00:00;11;iPhoto 6.0.2 update available - better Front Row support;4;2006-03-01 00:00:00;2008-07-26 03:41:44
458;2006-03-02 00:00:00;14;GarageBand 3.0.1 update available;4;2006-03-02 00:00:00;2008-07-26 03:41:44
459;2006-03-13 00:00:00;1;Security Update 2006-002;4;2006-03-13 00:00:00;2008-07-26 03:41:44
460;2006-03-16 00:00:00;1;Security Update 2006-002 v1.1;4;2006-03-16 00:00:00;2008-07-26 03:41:44
461;2006-03-28 00:00:00;35;30" specs quietly updated: brightness 400cd/m2, contrast ratio 700:1;4;2006-03-28 00:00:00;2008-07-26 03:41:44
462;2006-03-29 00:00:00;28;iPod software update 1.1.1 (iPod Updater 2006-03-23);4;2006-03-29 00:00:00;2008-07-26 03:41:44
463;2006-03-29 00:00:00;43;iPod nano software update 1.1.1 (iPod Updater 2006-03-23);4;2006-03-29 00:00:00;2008-07-26 03:41:44
464;2006-03-29 00:00:00;21;Final Cut Pro - universal binary (Final Cut Studio 5.1);3;2006-03-29 00:00:00;2008-07-26 03:41:44
465;2006-03-29 00:00:00;22;Motion - universal binary (Final Cut Studio 5.1);4;2006-03-29 00:00:00;2008-07-26 03:41:44
466;2006-03-29 00:00:00;23;DVD Studio Pro - universal binary (Final Cut Studio 5.1);4;2006-03-29 00:00:00;2008-07-26 03:41:44
467;2006-03-29 00:00:00;42;Soundtack Pro - universal binary (Final Cut Studio 5.1);4;2006-03-29 00:00:00;2008-07-26 03:41:44
468;2006-04-03 00:00:00;1;10.4.6 update released;3;2006-04-03 00:00:00;2008-07-26 03:41:44
469;2006-04-05 00:00:00;1;Boot Camp beta - allows Windows to run on Intel Macs (to be feature of 10.5);5;2006-04-05 00:00:00;2008-07-26 03:41:44
